n,temps_meilleur,temps_pire
627068,1.3509109994629398e-06,1.1721540304279188e-06
631579,1.4311994709714782e-07,1.154669998868485e-06
636090,1.3526020193239674e-06,1.1700059676513774e-06
640602,1.2936440180055796e-06,1.1479890144983074e-06
645113,1.4346699936140793e-07,1.1751919555536005e-06
649624,1.3086600192764309e-06,1.1509360119816847e-06
654135,1.4875301349093207e-07,1.177106001705397e-06
658647,1.4134400407783686e-07,1.154991019575391e-06
663158,1.3533100209315308e-06,1.1826419504359363e-06
667669,1.4169899623084347e-07,1.1416590295993956e-06
672181,1.4377899242390413e-07,1.1740650024876231e-06
676692,1.301285994486534e-06,1.1506580085551833e-06
681203,1.4282902884588113e-07,1.1757609627238708e-06
685714,1.2928110154462046e-06,1.1492169978737366e-06
690226,1.3463519917422672e-06,1.1691260260704438e-06
694737,1.4115400335867889e-07,1.1494669706735295e-06
699248,1.3435120181384263e-06,1.1659630290523638e-06
703760,1.3025370135437697e-06,1.1475859919301001e-06
708271,1.4743999781785533e-07,1.1751939964597113e-06
712782,1.3045730211160844e-06,1.1522350141603966e-06
717293,1.4206401283445304e-07,1.1748939923563738e-06
721805,1.4028598343429622e-07,1.1537870341271628e-06
726316,1.3470240173774073e-06,1.1688670037983684e-06
730827,1.4171299881127197e-07,1.1456949960120255e-06
735338,1.349839974864153e-06,1.1688720023812493e-06
739850,1.3071240282442886e-06,1.1476029612822459e-06
744361,1.4162002844386733e-07,1.1725219937943622e-06
748872,1.313692995609017e-06,1.143305018558749e-06
753384,1.3502729943866143e-06,1.1678350365400548e-06
757895,1.4667498180642724e-07,1.149190004070988e-06
762406,1.3611690010293388e-06,1.1706799941748614e-06
766917,1.4165102402330377e-07,1.1464289746072608e-06
771429,1.4600394752051216e-07,1.1675550231302623e-06
775940,1.3061369791103062e-06,1.1601180212892359e-06
780451,1.4247401668399106e-07,1.1745020274247508e-06
784962,1.3079970303806475e-06,1.1538789876794909e-06
789474,1.3368680138228228e-06,1.1827600064862053e-06
793985,1.4530602675222326e-07,1.1614170343818841e-06
798496,1.3395910027611536e-06,1.1840030165330973e-06
803008,1.3045259820501088e-06,1.202182016641018e-06
807519,1.415590013493784e-07,1.1856199816975277e-06
812030,1.3003790027141804e-06,1.1549590362847083e-06
816541,1.4597897643398027e-07,1.1888119825016474e-06
821053,1.4342000577016734e-07,1.1720290003722766e-06
825564,1.3488279892044374e-06,1.1887309974554228e-06
830075,1.412049950886285e-07,1.1684549808705924e-06
834587,1.4776600437471643e-07,1.182344001790625e-06
839098,1.2980409737792798e-06,1.1776650044339475e-06
843609,1.4264700257626828e-07,1.1860319955303566e-06
848120,1.295955009481986e-06,1.156545968115097e-06
852632,1.3452290459099457e-06,1.1837410256703152e-06
857143,1.3993200263939798e-07,1.151761051005451e-06
861654,1.3430659873847616e-06,1.1768400036089587e-06
866165,1.4569498307537288e-07,1.1452270300651435e-06
870677,1.41085007271613e-07,1.1681339747156017e-06
875188,1.3259789720905246e-06,1.1757230095099659e-06
879699,1.435340291209286e-07,1.1740859972633189e-06
884211,1.421670149284182e-07,1.163999006166705e-06
888722,1.3376319948292803e-06,1.1793909961852478e-06
893233,1.4158001613395755e-07,1.1850430200865959e-06
897744,1.3586669920186977e-06,1.1751500296668382e-06
