n,temps_meilleur,temps_pire
234587,3.623999873525463e-06,0.007255147998876055
239098,2.4689998099347576e-06,0.007426373000271269
243609,4.246001481078565e-06,0.007567403001303319
248121,2.971000867546536e-06,0.007769124998958432
252632,2.1579999156529084e-06,0.007803796999724
257143,2.9109996830811724e-06,0.007978515999639058
261654,3.0319988582050428e-06,0.008121262000713614
266166,2.318998667760752e-06,0.00824835800085566
270677,3.393000952200964e-06,0.008461574001557892
275188,2.599999788799323e-06,0.008489882000503712
279700,2.6800007617566735e-06,0.008640056001240737
284211,2.4000000848900527e-06,0.008754324000619818
288722,2.800999936880544e-06,0.008946328000092763
293233,1.9270009943284094e-06,0.009067813000001479
297745,4.35699985246174e-06,0.009212969000145677
302256,3.623999873525463e-06,0.009376594998684595
306767,2.087999746436253e-06,0.009457494001253508
311279,2.769998900475912e-06,0.009617075000278419
315790,3.1519994081463665e-06,0.009748307000336354
320301,1.8470000213710591e-06,0.00992832599877147
324812,2.7100013539893553e-06,0.010141992999706417
329324,3.532999471644871e-06,0.011779468000895577
333835,5.359999704523943e-06,0.010379531999205938
338346,4.637999154510908e-06,0.011746541998945759
342857,4.628000169759616e-06,0.01151220600149827
347369,6.184000085340813e-06,0.0118179359997157
351880,4.858999091084115e-06,0.011593767998419935
356391,4.497000190895051e-06,0.01192390100004559
360903,7.898999683675356e-06,0.012058383001203765
365414,1.3811999451718293e-05,0.011944558000323013
369925,6.434000169974752e-06,0.012069403999703354
374436,6.5949989220825955e-06,0.012389940999128157
378948,5.3700005082646385e-06,0.012558591999550117
383459,3.5840002965414897e-06,0.012663321998843458
387970,4.135999915888533e-06,0.012720295000690385
392481,3.051000021514483e-06,0.012858251000579912
396993,3.080998794757761e-06,0.013144720000127563
401504,3.805000233114697e-06,0.013070482998955413
406015,2.70000055024866e-06,0.01329042399993341
410527,2.8909998945891857e-06,0.013534506000723923
415038,3.483000909909606e-06,0.013790663000690984
419549,3.502998879412189e-06,0.013824047000525752
424060,2.8510003176052123e-06,0.014254154000809649
428572,6.2830004026182e-06,0.013823183999193134
433083,3.78400000045076e-06,0.013646072999108583
